,HT,AT,HHTW,AHTW,HHTL,AHTL,HATW,AATW,HATL,AATL,HTPts,ATPts
0,Arsenal,Everton,121,97,24,39,85,50,54,66,2124,1553
1,Arsenal,West Ham,121,67,24,58,85,32,54,82,2124,1246
2,Arsenal,Chelsea,121,127,24,22,85,95,54,47,2124,1865
3,Arsenal,Man United,121,134,24,22,85,93,54,43,2124,2099
4,Arsenal,Liverpool,121,105,24,25,85,82,54,62,2124,2018
5,Arsenal,Newcastle,121,57,24,50,85,32,54,82,2124,1286
6,Arsenal,Stoke,121,81,24,51,85,34,54,99,2124,1086
7,Arsenal,Tottenham,121,114,24,29,85,78,54,59,2124,1585
8,Arsenal,West Brom,121,58,24,64,85,32,54,84,2124,955
9,Arsenal,Man City,121,137,24,22,85,84,54,53,2124,1688
10,Arsenal,Burnley,121,26,24,26,85,9,54,46,2124,1503
11,Arsenal,Swansea,121,50,24,42,85,31,54,69,2124,1339
12,Arsenal,Southampton,121,45,24,33,85,32,54,46,2124,1313
13,Arsenal,Crystal Palace,121,30,24,43,85,25,54,43,2124,1403
14,Arsenal,Leicester,121,35,24,17,85,20,54,33,2124,1458
15,Arsenal,Bournemouth,121,19,24,20,85,12,54,26,2124,1355
16,Arsenal,Watford,121,18,24,19,85,13,54,31,2124,1122
17,Arsenal,Brighton,121,4,24,3,85,2,54,8,2124,1139
18,Arsenal,Huddersfield,121,5,24,5,85,2,54,9,2124,1047
19,Everton,Arsenal,97,121,39,24,50,85,66,54,1553,2124
20,Everton,West Ham,97,67,39,58,50,32,66,82,1553,1246
21,Everton,Chelsea,97,127,39,22,50,95,66,47,1553,1865
22,Everton,Man United,97,134,39,22,50,93,66,43,1553,2099
23,Everton,Liverpool,97,105,39,25,50,82,66,62,1553,2018
24,Everton,Newcastle,97,57,39,50,50,32,66,82,1553,1286
25,Everton,Stoke,97,81,39,51,50,34,66,99,1553,1086
26,Everton,Tottenham,97,114,39,29,50,78,66,59,1553,1585
27,Everton,West Brom,97,58,39,64,50,32,66,84,1553,955
28,Everton,Man City,97,137,39,22,50,84,66,53,1553,1688
29,Everton,Burnley,97,26,39,26,50,9,66,46,1553,1503
30,Everton,Swansea,97,50,39,42,50,31,66,69,1553,1339
31,Everton,Southampton,97,45,39,33,50,32,66,46,1553,1313
32,Everton,Crystal Palace,97,30,39,43,50,25,66,43,1553,1403
33,Everton,Leicester,97,35,39,17,50,20,66,33,1553,1458
34,Everton,Bournemouth,97,19,39,20,50,12,66,26,1553,1355
35,Everton,Watford,97,18,39,19,50,13,66,31,1553,1122
36,Everton,Brighton,97,4,39,3,50,2,66,8,1553,1139
37,Everton,Huddersfield,97,5,39,5,50,2,66,9,1553,1047
38,West Ham,Arsenal,67,121,58,24,32,85,82,54,1246,2124
39,West Ham,Everton,67,97,58,39,32,50,82,66,1246,1553
40,West Ham,Chelsea,67,127,58,22,32,95,82,47,1246,1865
41,West Ham,Man United,67,134,58,22,32,93,82,43,1246,2099
42,West Ham,Liverpool,67,105,58,25,32,82,82,62,1246,2018
43,West Ham,Newcastle,67,57,58,50,32,32,82,82,1246,1286
44,West Ham,Stoke,67,81,58,51,32,34,82,99,1246,1086
45,West Ham,Tottenham,67,114,58,29,32,78,82,59,1246,1585
46,West Ham,West Brom,67,58,58,64,32,32,82,84,1246,955
47,West Ham,Man City,67,137,58,22,32,84,82,53,1246,1688
48,West Ham,Burnley,67,26,58,26,32,9,82,46,1246,1503
49,West Ham,Swansea,67,50,58,42,32,31,82,69,1246,1339
50,West Ham,Southampton,67,45,58,33,32,32,82,46,1246,1313
51,West Ham,Crystal Palace,67,30,58,43,32,25,82,43,1246,1403
52,West Ham,Leicester,67,35,58,17,32,20,82,33,1246,1458
53,West Ham,Bournemouth,67,19,58,20,32,12,82,26,1246,1355
54,West Ham,Watford,67,18,58,19,32,13,82,31,1246,1122
55,West Ham,Brighton,67,4,58,3,32,2,82,8,1246,1139
56,West Ham,Huddersfield,67,5,58,5,32,2,82,9,1246,1047
57,Chelsea,Arsenal,127,121,22,24,95,85,47,54,1865,2124
58,Chelsea,Everton,127,97,22,39,95,50,47,66,1865,1553
59,Chelsea,West Ham,127,67,22,58,95,32,47,82,1865,1246
60,Chelsea,Man United,127,134,22,22,95,93,47,43,1865,2099
61,Chelsea,Liverpool,127,105,22,25,95,82,47,62,1865,2018
62,Chelsea,Newcastle,127,57,22,50,95,32,47,82,1865,1286
63,Chelsea,Stoke,127,81,22,51,95,34,47,99,1865,1086
